,song_name,name_10,kpop_artist_name,all_artists,song_id,song_api_info,artist_id,all_artists_id,all_artists_list,all_artists_id_list,artist_1,artist_id_1,artist_2,artist_id_2,artist_3,artist_id_3,artist_4,artist_id_4,artist_5,artist_id_5,artist_6,artist_id_6,artist_7,artist_id_7,name_5
0,Expectations,Expectatio,(G)I-DLE,"Anne-Marie, MINNIE, (G)I-DLE",3szFx3SyWFpRbehaPxpyqq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX'}, 'href': 'https://api.spotify.com/v1/artists/1zNqDE7qDGCsyzJwohVaoX', 'id': '1zNqDE7qDGCsyzJwohVaoX', 'name': 'Anne-Marie', 'type': 'artist', 'uri': 'spotify:artist:1zNqDE7qDGCsyzJwohVaoX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2pHkxVNynHBwQHhGaoBIXX'}, 'href': 'https://api.spotify.com/v1/artists/2pHkxVNynHBwQHhGaoBIXX', 'id': '2pHkxVNynHBwQHhGaoBIXX', 'name': 'MINNIE', 'type': 'artist', 'uri': 'spotify:artist:2pHkxVNynHBwQHhGaoBIXX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx'}, 'href': 'https://api.spotify.com/v1/artists/2AfmfGFbe0A0WsTYm0SDTx', 'id': '2AfmfGFbe0A0WsTYm0SDTx', 'name': '(G)I-DLE', 'type': 'artist', 'uri': 'spotify:artist:2AfmfGFbe0A0WsTYm0SDTx'}]",2AfmfGFbe0A0WsTYm0SDTx,"1zNqDE7qDGCsyzJwohVaoX, 2pHkxVNynHBwQHhGaoBIXX, 2AfmfGFbe0A0WsTYm0SDTx","['Anne-Marie', ' MINNIE', ' (G)I-DLE']","['1zNqDE7qDGCsyzJwohVaoX', ' 2pHkxVNynHBwQHhGaoBIXX', ' 2AfmfGFbe0A0WsTYm0SDTx']",Anne-Marie,1zNqDE7qDGCsyzJwohVaoX, MINNIE, 2pHkxVNynHBwQHhGaoBIXX, (G)I-DLE, 2AfmfGFbe0A0WsTYm0SDTx,,,,,,,,,Expec
1,Nxde (Steve Aoki Remix),Nxde (Stev,(G)I-DLE,"(G)I-DLE, Steve Aoki",6HXVUmiqWSg3OW6yr5mJCJ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx'}, 'href': 'https://api.spotify.com/v1/artists/2AfmfGFbe0A0WsTYm0SDTx', 'id': '2AfmfGFbe0A0WsTYm0SDTx', 'name': '(G)I-DLE', 'type': 'artist', 'uri': 'spotify:artist:2AfmfGFbe0A0WsTYm0SDTx'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/77AiFEVeAVj2ORpC85QVJs'}, 'href': 'https://api.spotify.com/v1/artists/77AiFEVeAVj2ORpC85QVJs', 'id': '77AiFEVeAVj2ORpC85QVJs', 'name': 'Steve Aoki', 'type': 'artist', 'uri': 'spotify:artist:77AiFEVeAVj2ORpC85QVJs'}]",2AfmfGFbe0A0WsTYm0SDTx,"2AfmfGFbe0A0WsTYm0SDTx, 77AiFEVeAVj2ORpC85QVJs",[' Steve Aoki'],[' 77AiFEVeAVj2ORpC85QVJs'], Steve Aoki, 77AiFEVeAVj2ORpC85QVJs,,,,,,,,,,,,,Nxde 
15,TOMBOY (R3HAB Remix),TOMBOY (R3,(G)I-DLE,"(G)I-DLE, R3HAB",4y2SshixeFlqPprLmoZtJe,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx'}, 'href': 'https://api.spotify.com/v1/artists/2AfmfGFbe0A0WsTYm0SDTx', 'id': '2AfmfGFbe0A0WsTYm0SDTx', 'name': '(G)I-DLE', 'type': 'artist', 'uri': 'spotify:artist:2AfmfGFbe0A0WsTYm0SDTx'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6cEuCEZu7PAE9ZSzLLc2oQ'}, 'href': 'https://api.spotify.com/v1/artists/6cEuCEZu7PAE9ZSzLLc2oQ', 'id': '6cEuCEZu7PAE9ZSzLLc2oQ', 'name': 'R3HAB', 'type': 'artist', 'uri': 'spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ'}]",2AfmfGFbe0A0WsTYm0SDTx,"2AfmfGFbe0A0WsTYm0SDTx, 6cEuCEZu7PAE9ZSzLLc2oQ",[' R3HAB'],[' 6cEuCEZu7PAE9ZSzLLc2oQ'], R3HAB, 6cEuCEZu7PAE9ZSzLLc2oQ,,,,,,,,,,,,,TOMBO
17,HWAA - Dimitri Vegas & Like Mike Remix,HWAA - Dim,(G)I-DLE,"(G)I-DLE, Dimitri Vegas & Like Mike",6sUnwJgPUTHKBKnsKZr9PC,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx'}, 'href': 'https://api.spotify.com/v1/artists/2AfmfGFbe0A0WsTYm0SDTx', 'id': '2AfmfGFbe0A0WsTYm0SDTx', 'name': '(G)I-DLE', 'type': 'artist', 'uri': 'spotify:artist:2AfmfGFbe0A0WsTYm0SDTx'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/73jBynjsVtofjRpdpRAJGk'}, 'href': 'https://api.spotify.com/v1/artists/73jBynjsVtofjRpdpRAJGk', 'id': '73jBynjsVtofjRpdpRAJGk', 'name': 'Dimitri Vegas & Like Mike', 'type': 'artist', 'uri': 'spotify:artist:73jBynjsVtofjRpdpRAJGk'}]",2AfmfGFbe0A0WsTYm0SDTx,"2AfmfGFbe0A0WsTYm0SDTx, 73jBynjsVtofjRpdpRAJGk",[' Dimitri Vegas & Like Mike'],[' 73jBynjsVtofjRpdpRAJGk'], Dimitri Vegas & Like Mike, 73jBynjsVtofjRpdpRAJGk,,,,,,,,,,,,,HWAA 
35,MORE,MORE,(G)I-DLE,"K/DA, Madison Beer, (G)I-DLE, Lexie Liu, Jaira Burns, Seraphine, League of Legends",6juLaduD4STCUDWT0AYun4,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gOc8TsQed9eqnqJct2c5v'}, 'href': 'https://api.spotify.com/v1/artists/4gOc8TsQed9eqnqJct2c5v', 'id': '4gOc8TsQed9eqnqJct2c5v', 'name': 'K/DA', 'type': 'artist', 'uri': 'spotify:artist:4gOc8TsQed9eqnqJct2c5v'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kRfqPViCqYdSGhYSM9R0Q'}, 'href': 'https://api.spotify.com/v1/artists/2kRfqPViCqYdSGhYSM9R0Q', 'id': '2kRfqPViCqYdSGhYSM9R0Q', 'name': 'Madison Beer', 'type': 'artist', 'uri': 'spotify:artist:2kRfqPViCqYdSGhYSM9R0Q'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx'}, 'href': 'https://api.spotify.com/v1/artists/2AfmfGFbe0A0WsTYm0SDTx', 'id': '2AfmfGFbe0A0WsTYm0SDTx', 'name': '(G)I-DLE', 'type': 'artist', 'uri': 'spotify:artist:2AfmfGFbe0A0WsTYm0SDTx'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6fs2or0cKLEM2xohWq8SoX'}, 'href': 'https://api.spotify.com/v1/artists/6fs2or0cKLEM2xohWq8SoX', 'id': '6fs2or0cKLEM2xohWq8SoX', 'name': 'Lexie Liu', 'type': 'artist', 'uri': 'spotify:artist:6fs2or0cKLEM2xohWq8SoX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0tRFWXqKBBQcu5oFVOgVzX'}, 'href': 'https://api.spotify.com/v1/artists/0tRFWXqKBBQcu5oFVOgVzX', 'id': '0tRFWXqKBBQcu5oFVOgVzX', 'name': 'Jaira Burns', 'type': 'artist', 'uri': 'spotify:artist:0tRFWXqKBBQcu5oFVOgVzX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4TqlcgMFDryY96KWcvrhTv'}, 'href': 'https://api.spotify.com/v1/artists/4TqlcgMFDryY96KWcvrhTv', 'id': '4TqlcgMFDryY96KWcvrhTv', 'name': 'Seraphine', 'type': 'artist', 'uri': 'spotify:artist:4TqlcgMFDryY96KWcvrhTv'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/47mIJdHORyRerp4os813jD'}, 'href': 'https://api.spotify.com/v1/artists/47mIJdHORyRerp4os813jD', 'id': '47mIJdHORyRerp4os813jD', 'name': 'League of Legends', 'type': 'artist', 'uri': 'spotify:artist:47mIJdHORyRerp4os813jD'}]",2AfmfGFbe0A0WsTYm0SDTx,"4gOc8TsQed9eqnqJct2c5v, 2kRfqPViCqYdSGhYSM9R0Q, 2AfmfGFbe0A0WsTYm0SDTx, 6fs2or0cKLEM2xohWq8SoX, 0tRFWXqKBBQcu5oFVOgVzX, 4TqlcgMFDryY96KWcvrhTv, 47mIJdHORyRerp4os813jD","['K/DA', ' Madison Beer', ' (G)I-DLE', ' Lexie Liu', ' Jaira Burns', ' Seraphine', ' League of Legends']","['4gOc8TsQed9eqnqJct2c5v', ' 2kRfqPViCqYdSGhYSM9R0Q', ' 2AfmfGFbe0A0WsTYm0SDTx', ' 6fs2or0cKLEM2xohWq8SoX', ' 0tRFWXqKBBQcu5oFVOgVzX', ' 4TqlcgMFDryY96KWcvrhTv', ' 47mIJdHORyRerp4os813jD']",K/DA,4gOc8TsQed9eqnqJct2c5v, Madison Beer, 2kRfqPViCqYdSGhYSM9R0Q, (G)I-DLE, 2AfmfGFbe0A0WsTYm0SDTx, Lexie Liu, 6fs2or0cKLEM2xohWq8SoX, Jaira Burns, 0tRFWXqKBBQcu5oFVOgVzX, Seraphine, 4TqlcgMFDryY96KWcvrhTv, League of Legends, 47mIJdHORyRerp4os813jD,MORE
36,THE BADDEST,THE BADDES,(G)I-DLE,"K/DA, (G)I-DLE, Wolftyla, Bea Miller, League of Legends",2V4Fx72svQRxrFvNT1eq5f,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gOc8TsQed9eqnqJct2c5v'}, 'href': 'https://api.spotify.com/v1/artists/4gOc8TsQed9eqnqJct2c5v', 'id': '4gOc8TsQed9eqnqJct2c5v', 'name': 'K/DA', 'type': 'artist', 'uri': 'spotify:artist:4gOc8TsQed9eqnqJct2c5v'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx'}, 'href': 'https://api.spotify.com/v1/artists/2AfmfGFbe0A0WsTYm0SDTx', 'id': '2AfmfGFbe0A0WsTYm0SDTx', 'name': '(G)I-DLE', 'type': 'artist', 'uri': 'spotify:artist:2AfmfGFbe0A0WsTYm0SDTx'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7qd6KGoABHifvXKeFNe2Yb'}, 'href': 'https://api.spotify.com/v1/artists/7qd6KGoABHifvXKeFNe2Yb', 'id': '7qd6KGoABHifvXKeFNe2Yb', 'name': 'Wolftyla', 'type': 'artist', 'uri': 'spotify:artist:7qd6KGoABHifvXKeFNe2Yb'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1o2NpYGqHiCq7FoiYdyd1x'}, 'href': 'https://api.spotify.com/v1/artists/1o2NpYGqHiCq7FoiYdyd1x', 'id': '1o2NpYGqHiCq7FoiYdyd1x', 'name': 'Bea Miller', 'type': 'artist', 'uri': 'spotify:artist:1o2NpYGqHiCq7FoiYdyd1x'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/47mIJdHORyRerp4os813jD'}, 'href': 'https://api.spotify.com/v1/artists/47mIJdHORyRerp4os813jD', 'id': '47mIJdHORyRerp4os813jD', 'name': 'League of Legends', 'type': 'artist', 'uri': 'spotify:artist:47mIJdHORyRerp4os813jD'}]",2AfmfGFbe0A0WsTYm0SDTx,"4gOc8TsQed9eqnqJct2c5v, 2AfmfGFbe0A0WsTYm0SDTx, 7qd6KGoABHifvXKeFNe2Yb, 1o2NpYGqHiCq7FoiYdyd1x, 47mIJdHORyRerp4os813jD","['K/DA', ' (G)I-DLE', ' Wolftyla', ' Bea Miller', ' League of Legends']","['4gOc8TsQed9eqnqJct2c5v', ' 2AfmfGFbe0A0WsTYm0SDTx', ' 7qd6KGoABHifvXKeFNe2Yb', ' 1o2NpYGqHiCq7FoiYdyd1x', ' 47mIJdHORyRerp4os813jD']",K/DA,4gOc8TsQed9eqnqJct2c5v, (G)I-DLE, 2AfmfGFbe0A0WsTYm0SDTx, Wolftyla, 7qd6KGoABHifvXKeFNe2Yb, Bea Miller, 1o2NpYGqHiCq7FoiYdyd1x, League of Legends, 47mIJdHORyRerp4os813jD,,,,,THE B
93,POP/STARS,POP/STARS,(G)I-DLE,"K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends",5sbooPcNgIE22DwO0VNGUJ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gOc8TsQed9eqnqJct2c5v'}, 'href': 'https://api.spotify.com/v1/artists/4gOc8TsQed9eqnqJct2c5v', 'id': '4gOc8TsQed9eqnqJct2c5v', 'name': 'K/DA', 'type': 'artist', 'uri': 'spotify:artist:4gOc8TsQed9eqnqJct2c5v'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kRfqPViCqYdSGhYSM9R0Q'}, 'href': 'https://api.spotify.com/v1/artists/2kRfqPViCqYdSGhYSM9R0Q', 'id': '2kRfqPViCqYdSGhYSM9R0Q', 'name': 'Madison Beer', 'type': 'artist', 'uri': 'spotify:artist:2kRfqPViCqYdSGhYSM9R0Q'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx'}, 'href': 'https://api.spotify.com/v1/artists/2AfmfGFbe0A0WsTYm0SDTx', 'id': '2AfmfGFbe0A0WsTYm0SDTx', 'name': '(G)I-DLE', 'type': 'artist', 'uri': 'spotify:artist:2AfmfGFbe0A0WsTYm0SDTx'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0tRFWXqKBBQcu5oFVOgVzX'}, 'href': 'https://api.spotify.com/v1/artists/0tRFWXqKBBQcu5oFVOgVzX', 'id': '0tRFWXqKBBQcu5oFVOgVzX', 'name': 'Jaira Burns', 'type': 'artist', 'uri': 'spotify:artist:0tRFWXqKBBQcu5oFVOgVzX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/47mIJdHORyRerp4os813jD'}, 'href': 'https://api.spotify.com/v1/artists/47mIJdHORyRerp4os813jD', 'id': '47mIJdHORyRerp4os813jD', 'name': 'League of Legends', 'type': 'artist', 'uri': 'spotify:artist:47mIJdHORyRerp4os813jD'}]",2AfmfGFbe0A0WsTYm0SDTx,"4gOc8TsQed9eqnqJct2c5v, 2kRfqPViCqYdSGhYSM9R0Q, 2AfmfGFbe0A0WsTYm0SDTx, 0tRFWXqKBBQcu5oFVOgVzX, 47mIJdHORyRerp4os813jD","['K/DA', ' Madison Beer', ' (G)I-DLE', ' Jaira Burns', ' League of Legends']","['4gOc8TsQed9eqnqJct2c5v', ' 2kRfqPViCqYdSGhYSM9R0Q', ' 2AfmfGFbe0A0WsTYm0SDTx', ' 0tRFWXqKBBQcu5oFVOgVzX', ' 47mIJdHORyRerp4os813jD']",K/DA,4gOc8TsQed9eqnqJct2c5v, Madison Beer, 2kRfqPViCqYdSGhYSM9R0Q, (G)I-DLE, 2AfmfGFbe0A0WsTYm0SDTx, Jaira Burns, 0tRFWXqKBBQcu5oFVOgVzX, League of Legends, 47mIJdHORyRerp4os813jD,,,,,POP/S
114,Automotivo Extradimensional (pumba La Pumba) Spanish Cover,Automotivo,2am,"The Chosen, Siilva, 2am",3hGyEiJJ2A3JatKNf9gocq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zaS9mItqCC5OQpML2VDu2'}, 'href': 'https://api.spotify.com/v1/artists/4zaS9mItqCC5OQpML2VDu2', 'id': '4zaS9mItqCC5OQpML2VDu2', 'name': 'The Chosen', 'type': 'artist', 'uri': 'spotify:artist:4zaS9mItqCC5OQpML2VDu2'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1Ju0lsag81P0VNBByS6R23'}, 'href': 'https://api.spotify.com/v1/artists/1Ju0lsag81P0VNBByS6R23', 'id': '1Ju0lsag81P0VNBByS6R23', 'name': 'Siilva', 'type': 'artist', 'uri': 'spotify:artist:1Ju0lsag81P0VNBByS6R23'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5SnaL8SsjGMHQNyqpa8Zos'}, 'href': 'https://api.spotify.com/v1/artists/5SnaL8SsjGMHQNyqpa8Zos', 'id': '5SnaL8SsjGMHQNyqpa8Zos', 'name': '2am', 'type': 'artist', 'uri': 'spotify:artist:5SnaL8SsjGMHQNyqpa8Zos'}]",5SnaL8SsjGMHQNyqpa8Zos,"4zaS9mItqCC5OQpML2VDu2, 1Ju0lsag81P0VNBByS6R23, 5SnaL8SsjGMHQNyqpa8Zos","['The Chosen', ' Siilva', ' 2am']","['4zaS9mItqCC5OQpML2VDu2', ' 1Ju0lsag81P0VNBByS6R23', ' 5SnaL8SsjGMHQNyqpa8Zos']",The Chosen,4zaS9mItqCC5OQpML2VDu2, Siilva, 1Ju0lsag81P0VNBByS6R23, 2am, 5SnaL8SsjGMHQNyqpa8Zos,,,,,,,,,Autom
210,SCREAM - m-flo Remix,SCREAM - m,2NE1,"2NE1, m-flo",31XceDDb3k7WZs2cHtRaEy,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1l0mKo96Jh9HVYONcRl3Yp'}, 'href': 'https://api.spotify.com/v1/artists/1l0mKo96Jh9HVYONcRl3Yp', 'id': '1l0mKo96Jh9HVYONcRl3Yp', 'name': '2NE1', 'type': 'artist', 'uri': 'spotify:artist:1l0mKo96Jh9HVYONcRl3Yp'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4UhiMIdxKqQxmzdE9nYe6O'}, 'href': 'https://api.spotify.com/v1/artists/4UhiMIdxKqQxmzdE9nYe6O', 'id': '4UhiMIdxKqQxmzdE9nYe6O', 'name': 'm-flo', 'type': 'artist', 'uri': 'spotify:artist:4UhiMIdxKqQxmzdE9nYe6O'}]",1l0mKo96Jh9HVYONcRl3Yp,"1l0mKo96Jh9HVYONcRl3Yp, 4UhiMIdxKqQxmzdE9nYe6O",[' m-flo'],[' 4UhiMIdxKqQxmzdE9nYe6O'], m-flo, 4UhiMIdxKqQxmzdE9nYe6O,,,,,,,,,,,,,SCREA
237,Lollipop,Lollipop,2NE1,"2NE1, BIGBANG",2eDGx6nbrznlTmf6YMjrRi,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1l0mKo96Jh9HVYONcRl3Yp'}, 'href': 'https://api.spotify.com/v1/artists/1l0mKo96Jh9HVYONcRl3Yp', 'id': '1l0mKo96Jh9HVYONcRl3Yp', 'name': '2NE1', 'type': 'artist', 'uri': 'spotify:artist:1l0mKo96Jh9HVYONcRl3Yp'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4Kxlr1PRlDKEB0ekOCyHgX'}, 'href': 'https://api.spotify.com/v1/artists/4Kxlr1PRlDKEB0ekOCyHgX', 'id': '4Kxlr1PRlDKEB0ekOCyHgX', 'name': 'BIGBANG', 'type': 'artist', 'uri': 'spotify:artist:4Kxlr1PRlDKEB0ekOCyHgX'}]",1l0mKo96Jh9HVYONcRl3Yp,"1l0mKo96Jh9HVYONcRl3Yp, 4Kxlr1PRlDKEB0ekOCyHgX",[' BIGBANG'],[' 4Kxlr1PRlDKEB0ekOCyHgX'], BIGBANG, 4Kxlr1PRlDKEB0ekOCyHgX,,,,,,,,,,,,,Lolli
381,iCatch,iCatch,4Minute,"4Minute, Manager",5hO0BY6LXplPAoQgLZbJ20,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6cdC1cwqh3eJAXaxXJt2jv'}, 'href': 'https://api.spotify.com/v1/artists/6cdC1cwqh3eJAXaxXJt2jv', 'id': '6cdC1cwqh3eJAXaxXJt2jv', 'name': '4Minute', 'type': 'artist', 'uri': 'spotify:artist:6cdC1cwqh3eJAXaxXJt2jv'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7o4KDqFA1r5ddafrK5hgmt'}, 'href': 'https://api.spotify.com/v1/artists/7o4KDqFA1r5ddafrK5hgmt', 'id': '7o4KDqFA1r5ddafrK5hgmt', 'name': 'Manager', 'type': 'artist', 'uri': 'spotify:artist:7o4KDqFA1r5ddafrK5hgmt'}]",6cdC1cwqh3eJAXaxXJt2jv,"6cdC1cwqh3eJAXaxXJt2jv, 7o4KDqFA1r5ddafrK5hgmt",[' Manager'],[' 7o4KDqFA1r5ddafrK5hgmt'], Manager, 7o4KDqFA1r5ddafrK5hgmt,,,,,,,,,,,,,iCatc
387,iCatch,iCatch,4Minute,"4Minute, 매니저",0bMviiMvjgX9DV8uX6G9MD,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6cdC1cwqh3eJAXaxXJt2jv'}, 'href': 'https://api.spotify.com/v1/artists/6cdC1cwqh3eJAXaxXJt2jv', 'id': '6cdC1cwqh3eJAXaxXJt2jv', 'name': '4Minute', 'type': 'artist', 'uri': 'spotify:artist:6cdC1cwqh3eJAXaxXJt2jv'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6D0QAIqxtLK7aeiQzdvQUb'}, 'href': 'https://api.spotify.com/v1/artists/6D0QAIqxtLK7aeiQzdvQUb', 'id': '6D0QAIqxtLK7aeiQzdvQUb', 'name': '매니저', 'type': 'artist', 'uri': 'spotify:artist:6D0QAIqxtLK7aeiQzdvQUb'}]",6cdC1cwqh3eJAXaxXJt2jv,"6cdC1cwqh3eJAXaxXJt2jv, 6D0QAIqxtLK7aeiQzdvQUb",[' 매니저'],[' 6D0QAIqxtLK7aeiQzdvQUb'], 매니저, 6D0QAIqxtLK7aeiQzdvQUb,,,,,,,,,,,,,iCatc
457,지금처럼,지금처럼,4Minute,"DONGHAE, RYEOWOOK",3BBzE1Gy10n7RDBklBX2sa,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5X9KszkeEZd6c9wxRhucbV'}, 'href': 'https://api.spotify.com/v1/artists/5X9KszkeEZd6c9wxRhucbV', 'id': '5X9KszkeEZd6c9wxRhucbV', 'name': 'DONGHAE', 'type': 'artist', 'uri': 'spotify:artist:5X9KszkeEZd6c9wxRhucbV'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0fwfMuz3AmWRy2pyM5fDRo'}, 'href': 'https://api.spotify.com/v1/artists/0fwfMuz3AmWRy2pyM5fDRo', 'id': '0fwfMuz3AmWRy2pyM5fDRo', 'name': 'RYEOWOOK', 'type': 'artist', 'uri': 'spotify:artist:0fwfMuz3AmWRy2pyM5fDRo'}]",6cdC1cwqh3eJAXaxXJt2jv,"5X9KszkeEZd6c9wxRhucbV, 0fwfMuz3AmWRy2pyM5fDRo","['DONGHAE', ' RYEOWOOK']","['5X9KszkeEZd6c9wxRhucbV', ' 0fwfMuz3AmWRy2pyM5fDRo']",DONGHAE,5X9KszkeEZd6c9wxRhucbV, RYEOWOOK, 0fwfMuz3AmWRy2pyM5fDRo,,,,,,,,,,,지금처럼
490,Moonlight,Moonlight,AB6IX,"AB6IX, Reiley",5FMaHFAPTjeWvym1F3IoGb,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4y0wFJ5jmCUNRLZfsw1I7g'}, 'href': 'https://api.spotify.com/v1/artists/4y0wFJ5jmCUNRLZfsw1I7g', 'id': '4y0wFJ5jmCUNRLZfsw1I7g', 'name': 'AB6IX', 'type': 'artist', 'uri': 'spotify:artist:4y0wFJ5jmCUNRLZfsw1I7g'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1nHcGkMVml7a44TVwfrAN8'}, 'href': 'https://api.spotify.com/v1/artists/1nHcGkMVml7a44TVwfrAN8', 'id': '1nHcGkMVml7a44TVwfrAN8', 'name': 'Reiley', 'type': 'artist', 'uri': 'spotify:artist:1nHcGkMVml7a44TVwfrAN8'}]",4y0wFJ5jmCUNRLZfsw1I7g,"4y0wFJ5jmCUNRLZfsw1I7g, 1nHcGkMVml7a44TVwfrAN8",[' Reiley'],[' 1nHcGkMVml7a44TVwfrAN8'], Reiley, 1nHcGkMVml7a44TVwfrAN8,,,,,,,,,,,,,Moonl
550,MOONDANCE,MOONDANCE,AB6IX,"JEON WOONG, AB6IX",3hGQn8GEEjsJD558f6qAtd,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7HkRTmxvjlJxL3lEOSxpqN'}, 'href': 'https://api.spotify.com/v1/artists/7HkRTmxvjlJxL3lEOSxpqN', 'id': '7HkRTmxvjlJxL3lEOSxpqN', 'name': 'JEON WOONG', 'type': 'artist', 'uri': 'spotify:artist:7HkRTmxvjlJxL3lEOSxpqN'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4y0wFJ5jmCUNRLZfsw1I7g'}, 'href': 'https://api.spotify.com/v1/artists/4y0wFJ5jmCUNRLZfsw1I7g', 'id': '4y0wFJ5jmCUNRLZfsw1I7g', 'name': 'AB6IX', 'type': 'artist', 'uri': 'spotify:artist:4y0wFJ5jmCUNRLZfsw1I7g'}]",4y0wFJ5jmCUNRLZfsw1I7g,"7HkRTmxvjlJxL3lEOSxpqN, 4y0wFJ5jmCUNRLZfsw1I7g","['JEON WOONG', ' AB6IX']","['7HkRTmxvjlJxL3lEOSxpqN', ' 4y0wFJ5jmCUNRLZfsw1I7g']",JEON WOONG,7HkRTmxvjlJxL3lEOSxpqN, AB6IX, 4y0wFJ5jmCUNRLZfsw1I7g,,,,,,,,,,,MOOND
551,MORE,MORE,AB6IX,"KIM DONG HYUN, AB6IX",5jQqFhmNdiRp57Y8UNkMsZ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6NuAIYZptWXWUCAInxX6PU'}, 'href': 'https://api.spotify.com/v1/artists/6NuAIYZptWXWUCAInxX6PU', 'id': '6NuAIYZptWXWUCAInxX6PU', 'name': 'KIM DONG HYUN', 'type': 'artist', 'uri': 'spotify:artist:6NuAIYZptWXWUCAInxX6PU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4y0wFJ5jmCUNRLZfsw1I7g'}, 'href': 'https://api.spotify.com/v1/artists/4y0wFJ5jmCUNRLZfsw1I7g', 'id': '4y0wFJ5jmCUNRLZfsw1I7g', 'name': 'AB6IX', 'type': 'artist', 'uri': 'spotify:artist:4y0wFJ5jmCUNRLZfsw1I7g'}]",4y0wFJ5jmCUNRLZfsw1I7g,"6NuAIYZptWXWUCAInxX6PU, 4y0wFJ5jmCUNRLZfsw1I7g","['KIM DONG HYUN', ' AB6IX']","['6NuAIYZptWXWUCAInxX6PU', ' 4y0wFJ5jmCUNRLZfsw1I7g']",KIM DONG HYUN,6NuAIYZptWXWUCAInxX6PU, AB6IX, 4y0wFJ5jmCUNRLZfsw1I7g,,,,,,,,,,,MORE
